"gene_symbol","logFC","logCPM","F","PValue","FDR","gene"
"AC007875.2",0.884842767460916,-2.5921168778326,5.9362427234706,0.0179296360612737,0.152497321275226,"AC007875.2"
"AC079781.7",0.033760920830451,-3.12343534847854,0.00533189003069199,0.941979334336166,0.985388314340334,"AC079781.7"
"AC079781.8",0.677888556107461,-2.21022148063914,3.68282068175847,0.0609677426807636,0.282155569425086,"AC079781.8"
"OR7E7P",0.168340117549006,1.24405736007856,1.51289903831218,0.225486618508729,0.531166893397603,"OR7E7P"
"MIR5692A2",0.562252410976651,-3.11861128858065,1.79737968724234,0.183963591885819,0.484247294722823,"MIR5692A2"
"MIR5692C2",-0.38732610227148,-2.90793155683088,1.02469539356689,0.31517735632977,0.624525291765647,"MIR5692C2"
"OR7E38P",-0.0211155763482512,0.0832563376352376,0.00929798520087485,0.923638696985839,0.978528131700293,"OR7E38P"
"AC004967.7",0.0557423177143156,1.92162662388699,0.349008448582277,0.557813422699251,0.796738035968663,"AC004967.7"
"LMTK2",-0.0264141633559771,6.83474447100633,0.291087264809975,0.59234797538339,0.818903109051372,"LMTK2"
"BHLHA15",-0.418410564466553,-2.53827015848764,1.24868870445628,0.268958448952786,0.580378590498731,"BHLHA15"
"TECPR1",-0.0454538619962459,6.26978530671454,0.591886384941748,0.445957109469176,0.727423064577066,"TECPR1"
"BRI3",0.0481718136454687,5.31139960047648,0.117691757353087,0.733247396790846,0.890552792755368,"BRI3"
"BAIAP2L1",0.447335827588418,1.23121122265823,4.028546001626,0.051147471089049,0.258510364960632,"BAIAP2L1"
"RP4-607J23.2",0.0647196656315596,1.37305360246698,0.0863988552965311,0.770241843939075,0.908067212258045,"RP4-607J23.2"
"RP11-307C18.1",0.179369287252493,-1.99544164373151,0.208433641982889,0.650262779456329,0.849385151969346,"RP11-307C18.1"
"RPS3AP26",-0.424758397535394,2.44885310528039,7.05169525302602,0.0111117792434132,0.118412415771905,"RPS3AP26"
